#Temps:  Energie totale:             LAz:             LAa:         a.(w^L):
   2.37            5.729         0.159297         0.176727                0
   2.38          5.72888         0.159304         0.176725                0
   2.39          5.72875         0.159312         0.176724                0
    2.4          5.72862          0.15932         0.176722                0
   2.41          5.72849         0.159328          0.17672                0
   2.42          5.72835         0.159335         0.176718                0
   2.43          5.72821         0.159342         0.176716                0
   2.44          5.72806         0.159349         0.176714                0
   2.45           5.7279         0.159355         0.176712                0
   2.46          5.72774         0.159361          0.17671                0
   2.47          5.72758         0.159366         0.176708                0
   2.48           5.7274          0.15937         0.176706                0
   2.49          5.72723         0.159374         0.176703                0
    2.5          5.72704         0.159376         0.176701                0
   2.51          5.72685         0.159378         0.176698                0
   2.52          5.72665         0.159378         0.176696                0
   2.53          5.72645         0.159377         0.176693                0
   2.54          5.72624         0.159375          0.17669                0
   2.55          5.72602         0.159371         0.176687                0
   2.56          5.72579         0.159366         0.176684                0
   2.57          5.72556          0.15936         0.176681                0
   2.58          5.72532         0.159351         0.176678                0
   2.59          5.72507         0.159341         0.176674                0
    2.6          5.72481         0.159329         0.176671                0
   2.61          5.72454         0.159315         0.176667                0
   2.62          5.72427         0.159298         0.176663                0
   2.63          5.72399         0.159279         0.176659                0
   2.64           5.7237         0.159257         0.176655                0
   2.65           5.7234         0.159233         0.176651                0
   2.66           5.7231         0.159206         0.176647                0
   2.67          5.72278         0.159176         0.176642                0
   2.68          5.72246         0.159142         0.176637                0
   2.69          5.72213         0.159105         0.176633                0
    2.7          5.72179         0.159065         0.176628                0
   2.71          5.72145         0.159021         0.176622                0
   2.72           5.7211         0.158973         0.176617                0
   2.73          5.72074         0.158921         0.176612                0
   2.74          5.72038         0.158866         0.176606                0
   2.75          5.72001         0.158806           0.1766                0
   2.76          5.71964         0.158742         0.176595                0
   2.77          5.71927         0.158673         0.176589                0
   2.78           5.7189         0.158601         0.176583                0
   2.79          5.71852         0.158524         0.176576                0
    2.8          5.71815         0.158444          0.17657                0
   2.81          5.71778          0.15836         0.176564                0
   2.82          5.71742         0.158272         0.176558                0
   2.83          5.71707         0.158182         0.176551                0
   2.84          5.71673          0.15809         0.176545                0
   2.85          5.71641         0.157997         0.176539                0
   2.86          5.71611         0.157903         0.176533                0
   2.87          5.71584          0.15781         0.176527                0
   2.88          5.71561          0.15772         0.176521                0
   2.89          5.71542         0.157634         0.176516                0
    2.9          5.71528         0.157554         0.176511                0
   2.91          5.71521         0.157482         0.176507                0
   2.92          5.71521         0.157421         0.176503                0
   2.93           5.7153         0.157375           0.1765                0
   2.94           5.7155         0.157346         0.176498                0
   2.95          5.71582         0.157338         0.176497                0
   2.96          5.71628         0.157354         0.176496                0
   2.97           5.7169           0.1574         0.176498                0
   2.98          5.71772          0.15748           0.1765                0
   2.99          5.71874         0.157598         0.176504                0
      3             5.72         0.157758          0.17651                0
   3.01          5.72152         0.157965         0.176518                0
   3.02          5.72332         0.158223         0.176528                0
   3.03          5.72543         0.158534          0.17654                0
   3.04          5.72786         0.158902         0.176553                0
   3.05          5.73062         0.159327         0.176569                0
   3.06          5.73372          0.15981         0.176588                0
   3.07          5.73714         0.160348         0.176608                0
   3.08          5.74088         0.160939          0.17663                0
   3.09           5.7449         0.161577         0.176654                0
    3.1          5.74917         0.162256          0.17668                0
   3.11          5.75364         0.162966         0.176706                0
   3.12          5.75824         0.163697         0.176734                0
   3.13          5.76291         0.164439         0.176762                0
   3.14          5.76758         0.165179          0.17679                0
   3.15          5.77219         0.165906         0.176818                0
   3.16          5.77665         0.166608         0.176844                0
   3.17          5.78091         0.167276          0.17687                0
   3.18          5.78491         0.167899         0.176894                0
   3.19          5.78862         0.168471         0.176916                0
    3.2            5.792         0.168985         0.176936                0
   3.21          5.79504          0.16944         0.176955                0
   3.22          5.79773         0.169833          0.17697                0
